사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-04,3호선,0329,고속터미널,83,0,4410,3574,6631,30318,23213,45583,39225,70186,43960,88064,45955,81254,57925,84919,68403,82554,73097,83330,81716,86231,89909,89658,102016,87641,118908,94635,120522,106367,104425,67385,115432,40948,73326,30891,47009,22246,16045,12190,2,468,0,0,0,0,0,0
2022-04,3호선,0330,교대(법원.검찰청),52,0,1102,811,3432,5951,8102,19172,12101,44694,10352,34510,10975,16368,13934,10223,15637,9984,18758,10970,20499,9942,22576,9283,25553,9624,40815,13237,62712,17703,26050,9491,21307,4936,22952,3956,22145,3736,6356,3001,0,46,2,0,0,1,0,0
2022-04,3호선,0331,남부터미널(예술의전당),61,3,2640,1255,8298,25202,26759,58655,38494,142637,31238,80438,29596,44847,33396,32577,35401,34436,38328,38061,38886,38410,41957,38622,54126,42286,88277,46539,130804,56904,58822,37496,39575,22076,37937,17573,28471,12702,6742,9405,1,158,0,0,0,0,0,0
2022-04,3호선,0332,양재(서초구청),62,1,5163,2435,14437,41634,33870,102546,44041,216205,31504,118884,29681,52839,32202,43569,35283,39158,41273,45056,42926,38804,51053,40437,67042,42044,117163,57266,189511,72056,81084,48292,56734,30216,52330,26650,36523,23095,10015,14179,7,1642,1,1,0,1,0,0
2022-04,3호선,0333,매봉,5,1,1396,591,6961,8509,15739,21493,18325,60175,13021,38281,11150,15948,11119,13458,12482,12525,13220,12525,15468,10793,17861,12206,20747,12922,36736,17481,57771,22988,20999,14869,13994,8688,15090,7564,10361,7556,2849,4189,3,576,0,0,0,0,0,0
2022-04,3호선,0334,도곡,29,7,982,340,3287,4994,8854,13499,10348,19195,6666,14278,5538,7368,5900,7120,6446,6824,6691,7276,7147,6764,9600,6984,12035,7024,15821,8326,16648,10306,8340,8201,5657,4746,4925,4184,4203,4177,854,2632,12,1955,0,0,0,0,0,0
2022-04,3호선,0335,대치,12,2,2442,799,10813,8881,22840,17982,22905,25456,14028,16518,11699,12091,11405,11408,13185,14165,13594,16598,13618,16223,15709,18898,17961,21384,24226,23829,25023,26317,16658,20474,11820,11198,14117,9998,25547,9470,2472,5972,0,45,0,0,0,0,0,0
2022-04,3호선,0336,학여울,3,0,536,261,1724,1765,3854,3427,3965,7881,2533,5593,2265,4839,2902,3612,3674,3631,3756,4256,4155,4184,4898,3903,5921,3150,7147,3487,7032,4218,2777,3145,2061,2050,1483,1758,992,1628,195,1198,0,7,0,0,0,0,0,0
2022-04,3호선,0337,대청,58,1,3500,1079,10617,6351,26351,16378,30543,24504,18041,10955,14139,7754,12432,7522,12414,9308,12814,10017,13221,10234,18700,13024,16841,14356,20702,17658,24856,25925,10951,20867,7150,13549,6111,12080,4441,13579,1228,7850,4,191,0,0,0,0,0,0
2022-04,3호선,0338,일원,8,0,1949,1371,8012,10129,21379,30407,21238,24147,14894,16777,14943,14773,15636,10738,15675,12779,13644,14510,14764,12781,19124,12286,28208,11357,32425,13247,16609,18491,8830,14905,5803,9657,3756,9306,3236,10161,1072,4827,2,119,0,0,0,0,0,0
2022-04,3호선,0339,수서,216,13,4241,2220,11175,15092,31799,34237,40952,50425,27494,30435,26829,21605,22615,16895,27949,21936,25316,21375,20407,21801,30864,25162,34857,29298,40588,33900,48962,46495,22451,34400,21270,22997,14015,19238,14454,18848,3857,8417,2,1107,0,2,0,0,0,0
2022-04,3호선,0340,가락시장,40,14,2645,468,6590,5405,18379,11993,20461,29464,14700,15299,12666,10353,12590,10209,12361,10706,12962,11163,13089,11575,13226,12839,14523,14565,19137,17721,27091,22282,11511,15659,8744,10831,7573,8834,5589,8108,1476,4311,18,1596,1,2,0,0,0,0
2022-04,3호선,0341,경찰병원,19,0,2462,259,6910,3092,21423,8491,23868,26242,13627,13558,10492,7602,9386,5895,8890,6953,8596,8180,8371,7862,8902,8056,9135,9042,14103,13549,18480,20057,6665,15240,5153,9658,4595,7444,3188,7782,648,4140,1,1241,0,0,0,0,0,0
2022-04,3호선,0342,오금,30,0,3562,7,7683,2180,24664,5994,27702,13808,14396,5680,8454,4880,7468,4172,7664,5245,7697,5768,6245,5946,6071,7603,7658,9140,9310,12699,11545,19884,4647,14493,3480,9372,2909,8441,1999,9155,483,5323,4,2016,2,2,0,0,0,0
2022-04,4호선,0409,당고개,36,0,7504,49,14555,4416,38066,5491,34072,10801,20867,9933,14819,9957,13848,9370,13527,10163,13609,10136,12593,10751,12260,12874,12666,15556,12958,18347,11649,24804,7556,23472,5189,15599,3887,13790,2763,13069,815,10445,1,1191,0,0,0,0,0,0
2022-04,4호선,0410,상계,27,1,13079,184,34927,7424,83851,19060,71621,20372,41552,17896,29785,17087,27139,17355,28814,20686,26170,20885,24079,21615,24745,26379,28460,32473,26516,42163,24014,60703,15453,57746,11157,34234,10404,30612,10840,27293,2693,20437,1,460,0,0,0,0,0,0
2022-04,4호선,0411,노원,159,1,10857,418,22859,6362,50967,13779,53444,30227,32185,29347,24678,21482,24262,22061,28378,25187,26976,28392,26045,28249,26946,32307,29856,38963,31160,52950,32064,79358,23245,63016,24877,35590,22822,30236,21518,25480,8924,19390,16,3684,0,0,0,0,0,0
2022-04,4호선,0412,창동,1806,19,15061,2829,37279,12223,86771,18288,77394,36047,48685,28353,38728,26342,36210,26051,38054,31174,36052,36679,33417,40145,35392,44307,41218,51309,43812,62297,44734,88754,25316,76293,19226,44392,16884,38200,13476,34507,6310,22969,363,4763,4,0,0,0,0,0
2022-04,4호선,0413,쌍문,234,14,23063,1164,51311,8392,121205,14677,123397,27039,74185,19467,49759,18675,42983,19579,41818,24245,38739,27064,33664,28962,31460,38756,34095,50187,34580,64569,32975,100945,20785,94485,14911,56987,12463,50526,9285,46673,3746,31069,10,897,0,0,0,0,0,0
2022-04,4호선,0414,수유(강북구청),66,9,19386,2868,45964,10635,111373,20782,117866,53820,74382,37810,51961,29546,47729,30602,49941,32816,47906,37146,44969,40856,43988,48566,48177,64613,53339,79984,60398,121127,34871,108714,25786,64432,23274,56073,19353,50825,9495,35052,2,206,0,0,0,0,0,0
2022-04,4호선,0415,미아(서울사이버대학),40,5,10144,1313,20448,4853,46713,17471,50552,31237,31708,17916,23659,14520,21759,16497,22399,16027,21723,17130,20821,19212,21406,23350,24286,26762,24711,32515,26675,46032,15758,38107,11049,22769,9244,20475,8458,18504,2104,12577,2,4,0,0,0,0,0,0
2022-04,4호선,0416,미아사거리,51,1,14358,2022,36011,7670,92593,18619,95287,32562,58870,31761,41206,27021,38075,27178,38938,30400,38834,32552,36440,36212,38226,43985,44887,53183,41295,66234,42737,98252,29888,76518,28729,45334,16582,40502,13335,35402,5575,22175,1,0,0,0,0,0,0,0
2022-04,4호선,0417,길음,10,2,9515,2150,29638,6463,84594,13301,82889,30451,46644,22458,32102,18135,27874,20584,29378,21682,27811,25522,24902,25677,25587,28182,28366,37700,32264,49346,31438,74131,17701,59775,13243,35885,11102,33239,10914,31378,3068,20861,3,0,0,1,0,0,0,0
2022-04,4호선,0418,성신여대입구(돈암),20,1,5433,1530,17261,6481,44609,16865,50567,37446,32712,26104,26501,21889,27278,26158,30402,25022,30113,27592,30690,29736,32991,29240,36737,35170,42587,46620,46691,64994,29082,49401,25543,30559,28068,27773,25463,25297,9321,18168,0,1,1,1,0,0,0,0
2022-04,4호선,0419,한성대입구(삼선교),51,2,6390,875,12495,6033,29588,17594,35148,29748,24094,23915,18439,19228,18432,18776,21564,18812,21647,20191,21256,19396,23826,20101,30044,23146,31331,29198,31208,36029,18899,29136,15595,18136,14097,16974,10954,15776,3950,11894,3,6777,1,1,4,3,0,0
2022-04,4호선,0420,혜화,15,1,3058,2470,7357,22237,17297,47944,19153,114541,22693,75762,28410,56000,33160,55264,35170,61372,38565,74360,48279,67483,65563,51104,79775,49391,95942,59961,112023,66987,62885,48926,58320,19151,79723,17352,75200,15021,22418,11066,6,453,0,0,0,0,0,0
2022-04,4호선,0421,동대문,173,42,4585,2416,2813,14341,4970,34862,6857,73059,11561,63979,17132,53776,23725,48504,29734,41050,34365,39039,42143,37084,49303,30687,58359,22677,82177,16734,61739,13275,30556,13734,21086,9298,21323,5767,12224,4080,4242,4762,11,139,0,0,0,0,0,0
2022-04,4호선,0422,동대문역사문화공원(DDP),309,0,5295,1346,3833,12216,6856,24960,8155,62512,7869,32786,8808,23230,11893,22662,15457,20432,17193,20952,21940,19992,27159,17165,31854,15250,49308,16039,66348,17766,34462,19292,25062,10739,24064,7884,17947,5844,7613,5554,9,517,0,0,0,0,0,0
2022-04,4호선,0423,충무로,57,2,3066,3044,4322,20605,8310,51118,12972,163467,13174,95784,14601,53570,20165,42461,24222,40176,30971,40216,37423,34202,44182,29109,55614,28277,85506,32456,136549,36883,65314,20928,47127,11401,47566,10352,40911,8949,17871,8000,5,572,0,0,0,0,0,0
2022-04,4호선,0424,명동,13,1,683,820,2360,16345,3933,42058,6383,104752,7684,65341,9932,39006,16903,37514,23323,43635,25916,35856,30573,30840,43267,30677,53649,25760,64877,27150,104515,24715,47162,14991,38745,7716,31185,5983,19274,4780,4900,3323,3,310,0,0,0,0,0,0
2022-04,4호선,0425,회현(남대문시장),24,0,1654,622,2879,19280,4441,47790,7820,118605,8866,88090,13284,76662,23711,67285,33503,55740,43148,49171,51738,43558,60865,35541,75280,25120,89677,18800,109794,16341,43240,8741,41301,5114,18855,5047,11636,3689,3841,2458,7,415,1,1,0,0,0,0
2022-04,4호선,0426,서울역,224,3,3889,587,5618,12745,11228,32077,14662,70791,11381,42640,9345,21416,10960,19302,12127,22786,12062,22316,11951,22117,13404,24110,16571,25751,38226,29980,52460,32268,19225,23469,12541,16114,11938,14451,9445,13287,3463,7081,3,2178,0,0,0,0,0,0
2022-04,4호선,0427,숙대입구(갈월),10,0,2454,743,7314,6451,16609,22423,24062,49640,17385,29823,14438,19801,15799,17407,17992,17752,18553,17676,19228,17751,22750,16772,29503,19495,34533,25897,47479,33682,23532,22282,19301,13566,19723,12130,17409,11260,7274,6774,1,1,0,0,0,0,0,0
2022-04,4호선,0428,삼각지,1,0,579,277,2093,4501,6291,9257,9834,17418,5928,9757,4330,6990,4371,7823,5544,8192,6303,7968,6681,7226,6836,7677,8457,8669,12438,11813,17189,17682,8967,11083,7162,5886,8500,4937,8066,4734,4176,4177,7,744,0,0,0,0,0,0
2022-04,4호선,0429,신용산,13,0,1283,895,3854,10162,11073,29761,16307,80788,12348,56305,10621,26021,14373,20792,14761,21079,17269,21702,18133,20349,23002,20109,27818,22303,49588,26055,80467,33399,37251,20808,26960,10873,25373,8773,18991,6773,7648,3760,1,0,0,0,0,0,0,0
2022-04,4호선,0430,이촌(국립중앙박물관),15,1,1113,668,4517,6975,11987,13852,15719,25949,10926,16543,8277,12163,9188,12323,11711,13854,11208,16358,12427,15015,15537,14213,21285,14146,22819,15140,24269,19626,10123,13196,7165,8250,7096,7074,4631,6409,1479,3877,0,15,0,0,0,0,0,0
2022-04,4호선,0431,동작(현충원),5,0,311,216,596,1661,1761,3158,2446,5332,2220,3817,1923,4311,2678,3793,2786,3568,2939,4432,3403,4712,4577,4356,5088,3925,5947,3842,5948,4426,2933,2725,2471,1701,2333,1268,1665,893,536,1142,0,327,0,1,0,0,0,0
2022-04,4호선,0432,총신대입구(이수),69,3,5693,901,15627,8303,45707,17455,56580,43061,35948,29204,27559,23007,26663,22963,28282,26037,30777,27456,27176,29226,27044,34741,29368,40870,33341,51595,40199,73812,23716,47249,22313,25829,18256,22445,15676,19692,6203,12664,9,400,0,0,0,0,0,0
2022-04,4호선,0433,사당,155,57,9400,1274,22394,15757,66237,22570,86057,34581,64047,27796,41769,22386,35333,24071,36785,27319,37358,25901,34265,25584,33360,29918,35526,38902,42179,56843,47130,86356,30995,55716,27647,31348,30575,29423,28263,28596,11200,22645,28,2470,1,4,0,0,0,0
2022-04,4호선,0434,남태령,71,0,377,72,866,1272,2181,3506,3190,4144,2793,1646,2097,1132,2059,1133,2198,1315,2192,1186,2196,1403,1866,1363,2660,1570,3579,1672,3603,1794,1533,1557,1163,1004,636,825,318,715,143,430,0,56,0,0,0,0,0,0
2022-04,경부선,1001,서울역,5,1,58,291,67,2499,9165,4412,16641,5016,11039,3698,10615,2888,12943,1735,10956,2593,11668,2565,9107,2362,13346,2908,13648,3296,13346,5712,16024,8178,14881,3993,9426,2681,12699,2188,9425,2088,3729,433,14,16,0,0,0,0,0,0
2022-04,경부선,1002,남영,65,5,2617,1108,4403,6053,11193,19817,16235,53227,10005,26329,8786,13331,9082,11133,10669,11118,10415,10869,11854,10241,14927,10518,18573,11588,23052,15374,41642,21343,15834,13661,12328,8690,12586,7805,10145,6706,4243,5031,36,530,0,0,0,0,0,0
2022-04,경부선,1003,용산,402,8,3370,4532,4785,30516,18468,65736,29875,139286,30464,93913,25365,68600,42098,51751,37132,54467,45542,59207,44831,56244,69440,56874,75129,55843,104806,59143,141881,67853,80657,47895,78092,30356,70871,22793,48184,11005,16213,6124,123,1125,0,0,0,0,0,0
2022-04,경부선,1004,노량진,340,4,4684,1864,6941,4899,16155,10278,23036,16647,12953,11505,10224,8271,10711,9653,11999,10737,12830,11532,12593,10591,12600,12480,14398,15384,17641,22411,19615,35362,12657,19926,12396,12278,13283,11193,12778,9522,4383,6728,90,727,0,0,0,0,0,0
2022-04,경부선,1005,대방,395,7,5683,2285,10990,9824,29595,32837,38630,48861,22059,21886,16189,12214,16016,11692,17056,13285,17255,15010,16111,13451,17501,14569,18445,17008,29426,24740,43118,36242,15615,23614,11552,15737,10830,15531,8162,13835,2240,10026,28,1076,0,0,0,0,0,0
2022-04,경부선,1006,영등포,4254,128,15411,6315,16947,22144,37878,54839,53449,117480,37601,87431,35620,65360,39962,66701,44631,67040,51698,76434,56472,67170,69894,66555,84833,66850,101607,82298,142549,108151,80238,67877,84414,35804,66285,28003,53681,21744,20449,15057,198,2548,0,0,0,0,0,0
2022-04,경부선,1007,신도림,451,5,2331,667,3631,3435,9464,6716,10936,15296,6417,6834,4811,4775,4428,4384,5041,4439,5047,4954,4796,4847,5055,6082,6282,6600,9324,9547,14380,13213,6033,7758,4672,4476,4894,4141,4061,3531,1308,2554,29,1477,0,0,0,0,0,0
2022-04,경부선,1032,신길,649,1,9562,1992,10912,6133,23030,16975,30995,25663,17050,9750,11018,6176,9801,6274,12323,7373,10242,7811,9663,7649,10779,9298,13436,11319,18852,16035,27117,21063,11565,15220,7427,10065,7019,10839,4826,9875,1753,6788,34,1188,0,0,0,0,0,0
2022-04,경부선,1701,구로,11029,37,23452,4776,19099,12400,37533,30840,37229,72706,25984,37668,19461,23446,19715,19530,21057,20418,21440,21210,21459,20321,24170,23715,29132,27255,47404,37346,60161,43825,24862,29549,18121,19136,16214,18521,11167,16332,3878,18452,21,11256,0,0,0,0,0,0
2022-04,경부선,1702,가산디지털단지,1537,3,7882,2946,7363,12365,14561,52364,15193,152892,11109,71558,10182,21344,11171,15254,13044,14733,13610,16261,13901,15157,16467,15347,24786,18760,65283,25312,111185,28618,43775,20984,25006,12512,21571,12266,15492,10759,5532,5894,116,1204,0,0,0,0,0,0
2022-04,경부선,1703,금천구청,590,0,12187,1270,18342,5456,46969,15365,42749,28028,24681,11979,18066,9615,16179,9465,15677,11656,14396,14054,12735,12725,13455,18103,14423,20302,17053,29445,25214,45536,10875,33147,8058,17431,6551,17160,4635,14070,1341,7999,32,641,0,0,0,0,0,0
2022-04,경부선,1704,석수,396,1,7700,2521,14824,6529,37507,12363,37553,16399,20694,11528,14393,9599,12776,6788,12728,7537,11705,8519,10670,8827,12681,11380,14022,13379,17427,20662,16846,31982,9467,24641,6320,14274,5064,15000,3631,12839,962,6701,28,496,0,0,0,0,0,0
2022-04,경부선,1705,관악,96,2,7107,1824,12145,3954,31916,5750,30638,9756,15108,9271,11196,9183,9685,6817,9906,7799,9543,6975,9523,7662,10015,9050,11692,10545,12036,16330,10843,27526,6478,20954,4570,12033,3938,11558,2322,10220,805,5834,22,543,0,0,0,0,0,0
2022-04,경부선,1706,안양,259,12,14006,2753,31526,10279,84188,19830,74749,45722,42213,53132,30632,33218,31520,33195,38302,32768,36317,39062,36075,31915,41517,35207,52305,41816,53166,55958,41012,87449,26207,65212,23027,36663,23988,29857,20257,25224,7117,17094,78,1526,0,0,0,0,0,0
2022-04,경부선,1707,명학,146,1,6385,1649,10542,6571,25527,25714,22833,58104,11763,14940,9234,9747,9491,12572,10371,8336,10358,9200,12167,10096,10910,7325,15345,9434,29035,12132,37607,20773,13398,17175,12510,10082,7439,8521,5288,7595,1623,6135,20,313,0,0,0,0,0,0
2022-04,경부선,1708,금정,314,5,21113,6650,34658,20004,83741,42950,87211,92167,51997,32207,35592,20692,32199,22312,33929,23337,31678,25315,27304,27056,29171,34381,36922,42198,59112,60309,73330,88692,31738,67808,24910,39436,21109,40949,15672,34000,6743,27318,76,3600,0,0,0,0,0,0
2022-04,경부선,1709,군포,41,0,5428,1975,8584,8123,18867,31158,18073,46008,10262,8024,7886,4396,7089,4755,7706,4891,7089,5601,6708,5344,6566,6397,9144,8524,21851,10263,36761,15751,11288,11902,9351,7796,5690,6550,3118,6223,1035,3590,20,167,0,0,0,0,0,0
2022-04,경부선,1710,의왕,74,1,6060,2392,12800,8896,29660,25838,29403,28358,14029,9910,11076,7242,10572,7399,11071,8741,10463,9716,10697,9036,10902,10025,15456,13092,25201,17543,24917,28899,11454,18981,7590,14935,6113,11501,4231,9877,1544,7446,17,334,0,0,0,0,0,0
2022-04,경부선,1711,성균관대,118,2,7877,1888,25426,6516,63902,9592,52436,23813,26392,17876,19794,14180,18857,14077,21041,15797,19596,17714,16929,16774,18613,18795,23695,23077,26309,37223,24766,57489,14502,45935,11973,28495,11012,24889,10421,21418,4267,15448,61,1125,0,0,0,0,0,0
2022-04,경부선,1712,화서,353,28,7177,2209,21378,4612,41951,5721,32837,10193,14909,5912,10859,5646,10298,6494,9709,6986,9264,8523,7642,8261,8256,9438,11081,12143,11511,20677,10581,35010,5779,27720,4377,15773,3750,12164,3054,11437,954,6927,26,1539,0,0,0,0,0,0
2022-04,경부선,1713,수원,1597,56,17928,6491,32416,29920,71075,51429,66822,77873,44494,67056,38731,61447,45556,60926,52069,70951,52133,68866,53894,65312,65447,64286,83970,77307,90895,91087,93073,121024,72213,87928,74107,50428,56345,39405,48230,32834,18983,20051,440,6465,0,0,0,0,0,0
2022-04,경부선,1714,독산,627,2,7072,2264,17177,12607,45465,42540,42520,103595,23027,48114,17564,15511,16454,11374,18533,13056,17202,14026,16103,12534,16983,16493,24822,18906,57871,27324,74560,43073,34345,33932,19176,20048,12601,20241,7756,17602,2116,8613,52,629,0,0,0,0,0,0
2022-04,경부선,1715,세류,458,3,3335,735,6867,2276,14135,4111,9224,4109,5047,2544,4253,2440,3941,2714,3775,2837,3476,3040,3064,3074,3528,3965,4445,4744,5628,6253,5579,11002,3269,8733,2461,5395,2039,4746,1238,3843,487,2343,8,818,0,0,0,0,0,0
2022-04,경부선,1716,병점,3062,38,7044,2674,24618,9764,54167,20546,43646,29052,28073,17474,23422,13397,23210,15145,23838,17718,20280,17310,19720,19291,21882,22146,27115,27684,31249,39133,31518,48465,18563,42158,13059,29710,12138,23198,8758,22459,2617,15959,31,6789,1,0,0,0,0,0
2022-04,경부선,1717,세마,295,1,1924,505,5240,1460,10019,3965,8589,8897,5524,2593,4344,1697,3813,2270,4151,2340,3904,3168,3377,3095,3444,3124,4447,5339,5840,7031,7554,7601,3057,7732,2053,4355,1733,4245,1037,3402,435,2244,33,203,0,0,0,0,0,0
2022-04,경부선,1718,오산대,238,0,2803,1206,6256,2345,12700,3879,9821,12191,6062,5282,4875,5837,4966,5014,5915,4312,6243,5013,5855,4712,7308,3895,9533,5627,8852,8323,8932,11911,4444,8848,3219,5388,2837,5211,1859,3385,1034,2627,102,185,0,0,0,0,0,0
2022-04,경부선,1719,오산,322,1,6429,2509,14468,8240,25335,26569,24376,22323,17684,13367,15771,10603,16239,10369,17233,11786,15006,13784,14683,13422,15287,15908,21107,20408,25386,23721,27022,29983,14537,23038,12376,18057,8264,14658,4710,9592,2161,6985,113,611,0,0,0,0,0,0
2022-04,경부선,1720,진위,8,1,1022,221,1524,2395,3091,7826,2756,8794,1993,2072,1515,1291,1626,1196,1845,1102,1644,1235,1680,1162,2553,1309,3793,1759,6961,2034,9402,2245,3017,2412,1939,1430,1201,1425,578,1095,235,776,14,49,0,0,0,0,0,0
2022-04,경부선,1721,송탄,63,0,5168,975,8268,3244,14044,5698,12332,7830,9085,3830,7895,3626,8089,3983,7563,5238,7196,5258,6143,5905,6814,6899,8954,8682,9246,11437,10044,12780,5583,13782,4163,9052,3446,8551,1784,7593,1079,6149,78,724,0,0,0,0,0,0
2022-04,경부선,1722,서정리,43,2,3196,4161,9600,7573,16050,13323,15370,19172,11834,10164,10409,7370,10908,6496,11927,9313,10766,10137,10784,8395,12524,9883,16936,13887,26585,16623,19723,14867,11387,16358,9082,11620,7112,9149,3317,9054,1383,6995,62,953,0,0,0,0,0,0
2022-04,경부선,1723,평택지제,9,1,1656,6136,3407,9146,9103,11754,7387,7203,5097,3868,4361,2664,3820,3152,5031,3358,3488,3349,4262,3616,5970,4129,6954,5069,12002,6195,9672,7878,7885,5892,4686,4669,4593,4311,3425,3473,1210,2435,2,312,0,0,0,0,0,0
2022-04,경부선,1724,평택,161,2,6925,2555,13059,7703,29428,15462,28672,26427,24297,22464,21691,16494,20337,20255,22784,21177,21711,22085,20311,24067,23100,24000,28029,29112,31753,37197,29638,38661,19924,26468,20403,19124,13950,15999,10664,12374,5686,8667,28,1762,0,0,0,0,0,0
2022-04,경부선,1725,성환,26,0,1746,473,3268,2184,5995,11519,6247,17682,5754,19055,6196,8745,7246,6118,10436,9664,10637,11658,10457,5200,12780,5518,17889,6073,18469,7587,13938,7435,5460,5952,4951,5120,3231,4909,1710,3724,728,2873,46,806,0,0,0,0,0,0
2022-04,경부선,1726,직산,38,3,538,305,1185,965,1773,2880,1924,3254,1292,1250,1198,948,1114,928,1108,1008,1159,983,1051,1009,1391,947,1318,1120,3209,1626,3306,1640,1240,1607,849,946,619,987,270,758,174,819,17,153,0,0,0,0,0,0
2022-04,경부선,1727,두정,1210,5,3938,732,8229,2467,15341,9242,13190,20031,10885,17495,8724,14097,10847,11781,12888,14663,12815,12241,11707,10471,14938,8607,15865,12499,18032,14066,16843,20334,9676,13466,7536,10891,6684,7928,4577,7026,2344,6707,26,1716,0,0,0,0,0,0
2022-04,경부선,1728,천안,1574,0,2470,717,5130,2791,10434,5827,9270,16055,11997,14214,9145,12624,11613,13269,11741,13314,12751,12487,14216,11203,18098,12437,18932,11542,18328,16788,15952,17021,10341,11214,8223,8479,5728,5625,3322,4293,1603,3865,10,1572,0,0,0,0,0,0
2022-04,경부선,1729,당정,11,0,3295,871,10159,2602,25490,9534,23958,16426,12100,7528,8803,4882,8352,4797,9106,6342,8302,6661,7263,6849,7807,6935,9441,9143,12912,12967,14657,20437,5692,16988,4528,12040,3747,9382,4085,9287,1147,6548,14,230,0,0,0,0,0,0
2022-04,경부선,1749,서동탄,0,0,1099,7,4209,693,9696,1552,3593,1513,2440,767,1646,685,1714,1391,1561,987,1311,1071,1202,1330,1600,1750,1680,1866,1765,2702,2151,4233,973,5722,760,2356,521,1803,400,2246,47,1576,10,1139,0,0,0,0,0,0
2022-04,경부선,1750,광명,0,0,8,1079,2890,2450,10949,6251,9779,6515,5302,5585,3431,3504,5850,2154,4325,6464,3857,106,3503,6688,7188,3391,2915,4459,7936,5735,9363,11358,8141,6410,5577,3108,3169,5113,2017,2312,606,61,2,2,0,0,0,0,0,0
2022-04,경인선,1801,개봉,1352,1,17532,5150,35098,13075,88428,14665,83324,23723,49716,17545,34267,15307,31995,17445,30510,21519,28271,21505,25018,25261,23888,31334,26975,40179,30503,53936,29001,81098,17092,60000,12894,35877,10450,34288,7728,28043,2815,15680,21,1203,0,0,0,0,0,0
2022-04,경인선,1802,오류동,460,3,11984,1931,18369,5387,49815,6063,50753,11094,27693,10176,18955,9160,17519,9251,19531,11279,16821,12816,14478,13580,14279,17701,15551,21146,15532,27468,14135,43162,8388,36081,6823,20689,5537,19205,3819,16501,1368,10434,18,603,0,0,0,0,0,0
2022-04,경인선,1803,역곡,911,4,28297,3428,43572,10078,114683,13681,113050,33608,60380,33446,40762,22913,36916,26220,37826,29268,36952,30440,31436,32304,32303,34882,37122,51894,42704,69264,38883,109160,23187,90519,18192,51930,15802,46084,14206,39602,5808,26599,21,1026,0,0,0,0,0,0
2022-04,경인선,1804,부천,2454,13,36237,4937,41960,13040,102540,17874,101973,46537,60378,40204,44077,35932,45541,36598,48777,45302,47482,49160,45878,48909,48665,51060,54061,62431,57366,84424,55218,126076,35921,98894,29720,52515,28345,48978,25342,38679,12064,28401,49,972,0,0,0,0,0,0
2022-04,경인선,1805,송내,1470,8,14767,8462,35846,16365,103356,28824,86863,76907,49007,39935,35854,22725,35177,22390,35955,24397,32760,26311,28987,27114,30903,29802,37768,39760,46028,56839,71236,89842,29028,77617,21371,44511,18081,38970,14124,35970,6157,23111,42,873,0,0,0,0,0,0
2022-04,경인선,1806,부평,7176,60,20525,5695,35333,12774,80487,19441,76598,32566,45000,36136,35736,32916,37654,36947,40941,43290,42317,50668,41536,50569,45098,52645,52426,68105,57533,85796,52520,120826,40230,98103,35507,53367,36950,43052,33108,35916,20921,24599,634,3841,0,0,0,0,0,0
2022-04,경인선,1807,백운,82,0,7597,1855,13254,4639,28674,4654,24011,8764,14520,6006,11723,5533,10975,6815,11132,7766,9772,8320,8402,8264,9125,10528,10482,13936,10780,16535,8835,23455,4801,21206,3828,12482,3392,11690,2326,10204,1088,7502,34,993,0,0,0,0,0,0
2022-04,경인선,1808,동암,506,3,17759,3502,27400,7931,52279,13092,49456,16429,29429,13275,23531,12324,21832,14588,22275,15403,21115,17478,18315,17106,17825,22081,19990,29111,22422,39318,22126,51088,13214,44421,10335,28928,9068,25982,7174,22099,3441,15499,143,2433,0,0,0,0,0,0
2022-04,경인선,1809,주안,874,14,13019,4450,26089,9642,60942,17524,54077,31674,33848,25142,27240,16955,27086,17433,31400,22959,29918,18785,26087,22666,29802,23184,33199,31679,38707,37967,37891,54437,22013,55382,18404,30961,16980,26383,13586,23354,6432,19112,460,4220,0,0,0,0,0,0
2022-04,경인선,1810,제물포,849,6,7407,1687,14980,4841,38154,13458,33432,31578,18057,14928,15133,10202,15272,8666,16417,11048,15830,12211,13667,10908,16401,12845,22981,16039,21249,21180,23259,29337,9999,27702,7003,16615,5852,15368,4040,13661,1482,10191,54,2812,0,0,0,0,0,0
2022-04,경인선,1811,동인천,1423,7,6768,2552,15666,12337,38859,22944,30298,34059,19973,16202,18040,17815,19631,21426,21068,19530,21336,22387,20925,20478,24744,19897,30032,22893,37661,26707,42283,32082,17715,31463,12635,18359,10594,14370,6986,14253,2230,8591,26,3752,0,0,0,0,0,0
