사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2022-04,2호선,0208,왕십리(성동구청),807,0,7437,1057,10130,6284,25224,12995,43825,26909,27848,18025,18645,14434,19121,14467,21116,16502,22560,17673,22672,17784,25736,19503,31469,23205,34938,33383,37239,53308,23964,33071,22304,20259,24524,17745,28204,16930,14413,14213,27,469,1,1,0,0,0,0
2022-04,2호선,0209,한양대,11,1,1182,272,2268,5703,4887,11990,7647,60669,6161,54712,7755,50504,12795,17757,17732,35600,18242,26382,24946,22106,28333,13064,39237,10383,51939,14381,38160,17139,19195,8186,16905,5874,19193,5215,14133,4665,5948,3991,4,65,0,0,0,0,0,0
2022-04,2호선,0210,뚝섬,14,1,3219,1740,7889,13854,17738,35443,23558,126905,15851,83807,13444,39297,14755,31665,18302,34678,21975,38013,26658,34399,34415,33961,45564,33139,68707,36397,127508,44136,65384,25291,43658,13577,38894,11474,27621,10178,9739,7373,20,259,0,0,0,0,0,0
2022-04,2호선,0211,성수,32,1,5164,4036,8725,28899,22229,71229,29814,251287,21922,141019,19695,53066,21314,44907,26112,46152,31599,51242,36207,47507,43776,47033,57731,47790,108659,53438,221750,63332,103250,37188,67119,17971,63399,14108,47005,13297,17753,12874,19,6408,0,0,0,0,0,0
2022-04,2호선,0212,건대입구,345,10,14278,1893,20506,20376,50598,25131,88003,62205,59419,50893,35972,41525,34604,44063,41956,50534,46688,57532,47033,56541,51708,62135,61644,76682,72339,109150,84444,157662,67124,106952,66664,62645,74511,54498,82146,45619,47276,31246,102,4892,0,0,0,0,0,0
2022-04,2호선,0213,구의(광진구청),38,2,12412,1171,25233,11549,64829,15539,108266,39027,62644,22539,33149,18601,28280,18112,29612,21801,29325,24654,26561,25205,25903,32297,30982,38028,34009,53459,42726,88799,22042,63517,16869,41011,15738,38222,14417,36783,6656,23584,28,1616,2,0,0,1,0,0
2022-04,2호선,0214,강변(동서울터미널),12,0,7888,2026,25147,20128,73501,23059,106252,42588,74544,34619,55128,32706,50162,31720,48439,35186,46953,38647,42350,41953,43135,50067,44823,56119,52967,73077,58395,102896,41008,73863,32170,49560,26149,41000,17129,38943,6278,21873,12,1123,0,0,0,0,0,0
2022-04,2호선,0215,잠실나루,15,2,2844,1673,10880,9132,36733,21198,42092,35650,26685,22520,21545,17088,20214,15181,20437,18258,19326,20163,20210,17881,22285,17777,27101,19260,33016,25398,28856,37299,13874,26336,10096,17065,7415,15238,6080,14788,2317,9407,10,422,1,1,0,0,0,0
2022-04,2호선,0216,잠실(송파구청),96,4,10442,4476,43337,30241,107187,66527,154391,151722,113256,137338,76433,107376,74734,117426,84881,120796,96155,132267,106446,132356,127898,137368,154282,144500,191507,179931,225305,232906,157778,144732,171676,94316,153681,81757,103215,75413,29567,48783,50,2052,0,0,0,0,0,0
2022-04,2호선,0217,잠실새내,20,1,4323,825,15336,9980,51220,16633,68031,26600,42286,28933,28709,22273,26527,23473,28884,28039,28990,30881,26863,31137,30412,36840,33264,42484,35779,56306,39473,79435,30135,54765,26458,32220,26168,26575,27451,24661,13693,15544,38,1359,0,0,0,0,0,0
2022-04,2호선,0218,종합운동장,5,0,1467,841,5502,6811,15184,13838,20422,25191,15053,12625,10740,10483,10250,9081,10878,17492,10333,27173,9928,15487,12216,22309,19314,35056,35453,39934,20532,48026,15075,19962,31160,10349,31880,9672,28241,9400,3836,5881,21,704,2,1,6,5,0,0
2022-04,2호선,0219,삼성(무역센터),198,2,4363,5038,6717,36741,13975,119047,19914,295911,18927,214069,20991,91147,31785,64317,39027,60372,49915,66972,61045,56173,78596,47257,99146,45281,179976,50767,266558,55789,132358,30880,96027,15997,84025,12869,59293,10845,14856,7585,11,5386,0,0,0,0,0,0
2022-04,2호선,0220,선릉,115,5,3978,6103,9912,36575,19245,103133,29793,266520,28002,201799,31045,92556,40516,57383,48733,52497,57766,60240,65918,50003,86529,44542,107657,42178,169822,48386,276280,54693,131881,33344,80544,19371,78689,16393,69252,14845,24197,10736,28,605,0,0,0,0,0,0
2022-04,2호선,0221,역삼,30,2,3297,6734,7992,34415,13769,123440,24508,325020,21109,277329,22398,108139,29974,60002,37201,51312,44212,56568,51910,46735,67213,42836,83884,39851,178679,46530,267299,54324,135772,33354,76422,19155,71777,15955,55329,13466,19375,9704,22,119,0,0,0,1,0,0
2022-04,2호선,0222,강남,189,8,7698,10417,16772,48319,36546,140257,60539,306350,49179,302461,49392,142419,65291,99006,82687,96453,96714,114991,106664,100903,129824,97457,149581,102059,225535,135107,312487,186731,193310,113189,149023,56937,169908,44197,172069,37114,80010,25774,103,294,0,0,0,0,0,0
2022-04,2호선,0223,교대(법원.검찰청),32,0,2539,6492,11704,24000,24672,53888,34792,145220,27851,136179,26833,65046,31806,50161,35319,46658,42407,51763,47500,47241,52984,44382,58915,45625,92843,55719,135515,69646,62370,41207,48595,23187,52712,20232,45687,19317,16439,13434,23,300,0,0,0,0,0,0
2022-04,2호선,0224,서초,24,1,1533,4514,10437,18911,17330,45592,24891,108907,26199,83958,20192,35511,25148,27358,24167,20654,29897,24259,30137,22184,36637,18861,41036,20553,67141,21883,94742,23080,39457,15373,26428,9605,26107,9025,16983,9269,5335,5486,4,110,0,0,0,0,0,0
2022-04,2호선,0225,방배,5,0,2333,2573,8613,10611,21802,26424,30636,73040,23897,54124,18862,30590,19691,25388,23011,27147,24722,26320,27071,23926,30886,24051,36901,24197,45467,30104,68617,37884,29907,26511,21793,16141,21527,15044,18707,15408,6937,10027,11,236,0,0,0,0,0,0
2022-04,2호선,0226,사당,95,3,11032,3581,24895,29103,69912,43019,99354,63904,69683,50211,43945,42835,40434,44102,47085,47435,48809,48224,49681,46189,50931,56028,55948,73497,68985,105867,88107,157185,58142,107016,52815,62427,57518,59471,57281,57362,28333,42936,73,3768,0,0,0,0,0,0
2022-04,2호선,0227,낙성대(강감찬),31,2,10725,1836,25367,9154,75630,20702,119861,38346,73948,31493,40466,27081,35197,22537,37677,25918,38269,27876,34571,28010,34379,34050,39906,39391,44289,56726,48485,94048,27960,81318,21427,51280,19454,47997,16095,50617,6848,31457,14,3329,0,1,0,0,0,0
2022-04,2호선,0228,서울대입구(관악구청),3916,12,27132,2380,40676,14262,118362,30811,173131,70333,112929,63484,64539,55651,58122,46122,65692,49579,66969,54716,62097,54615,66345,60959,71754,71496,82705,101992,90556,167385,55004,139336,45134,81370,46309,76052,43959,77230,18410,49409,9,19185,0,0,0,0,0,0
2022-04,2호선,0229,봉천,34,2,14984,1217,26951,6993,75850,12156,116863,26147,68567,19244,37937,17153,31206,18267,33015,21324,32799,23237,27490,24976,26045,32794,29163,39091,28842,49873,31748,81780,18904,68355,14498,42406,12731,39130,9557,37361,3357,24915,6,1307,0,0,0,0,0,0
2022-04,2호선,0230,신림,355,26,38374,3620,75314,19854,197994,35318,306014,61858,180289,49665,96721,43848,80438,44493,85858,52242,81222,58870,72451,62689,70768,82344,77315,102718,84883,139326,89308,247171,56354,214594,45949,129519,41714,124960,39161,112832,18957,83144,53,2688,0,0,1,0,0,0
2022-04,2호선,0231,신대방,114,1,24346,1800,35119,8963,86681,19764,128766,31451,77293,21017,43129,17331,35155,19067,35453,21694,33673,25394,29970,27878,29063,38925,32286,44784,36194,61555,40382,95397,22987,81491,16744,53000,12850,54440,10311,51678,4236,35407,4,381,2,1,0,0,0,0
2022-04,2호선,0232,구로디지털단지,213,29,36849,5131,50169,20540,124872,80667,171369,235918,105011,132056,61408,49319,55503,40318,60715,40989,60643,52053,54712,51299,57890,59023,70569,73711,121331,98786,212392,156535,98075,123718,57670,77253,48478,73924,39887,72132,15999,50145,28,824,0,0,0,0,0,0
